[aa1605@cs-class a1-nlidata]$ python perceptron.py 30
iteration,train_accuracy,dev_accuracy,update
0,0.449496831905,0.4916387959866221,2954
1,0.770592620201,0.596989966555184,1231
2,0.871412597838,0.6036789297658863,690
3,0.931047335073,0.6471571906354515,370
4,0.948192322028,0.6421404682274248,278
5,0.962914647782,0.6254180602006689,199
6,0.974655236675,0.6337792642140468,136
7,0.982855013045,0.657190635451505,92
8,0.988259411107,0.6421404682274248,63
9,0.98453224003,0.6421404682274248,83
10,0.988073052553,0.6505016722408027,64
11,0.992545657846,0.6421404682274248,40
12,0.991986582184,0.6722408026755853,43
13,0.994968319046,0.6521739130434783,27
14,0.995900111815,0.637123745819398,22
15,0.993850167723,0.6688963210702341,33
16,0.995341036154,0.6605351170568562,25
17,0.996645546031,0.6605351170568562,18
18,0.996831904584,0.6505016722408027,17
19,0.9975773388,0.6488294314381271,13
20,0.996272828923,0.6438127090301003,20
21,0.999068207231,0.6688963210702341,5
22,0.998695490123,0.657190635451505,7
23,1.0,0.657190635451505,0
