[aa1605@cs-class a1-nlidata]$ python perceptron.py -n 2 30
iteration,train_accuracy,dev_accuracy,update
0,0.51304509877,0.6304347826086957,2613
1,0.907007081625,0.6605351170568562,499
2,0.973537085352,0.7107023411371237,142
3,0.987700335445,0.7040133779264214,66
4,0.993850167723,0.7224080267558528,33
5,0.994595601938,0.7341137123745819,29
6,0.996831904584,0.7290969899665551,17
7,0.998695490123,0.7240802675585284,7
8,0.998881848677,0.725752508361204,6
9,0.999627282892,0.7307692307692307,2
10,0.999440924338,0.7341137123745819,3
11,0.999627282892,0.7324414715719063,2
12,1.0,0.7324414715719063,0
