[aa1605@cs-class a1-nlidata]$ python perceptron.py -u 30
[nltk_data] Downloading package wordnet to /home/aa1605/nltk_data...
[nltk_data]   Package wordnet is already up-to-date!
[nltk_data] Downloading package wordnet to /home/aa1605/nltk_data...
[nltk_data]   Package wordnet is already up-to-date!
iteration,train_accuracy,dev_accuracy,update
0,0.42899739098,0.5100334448160535,3064
1,0.751770406262,0.6003344481605352,1332
2,0.869176295192,0.6254180602006689,702
3,0.911852404025,0.6387959866220736,473
4,0.949496831905,0.6204013377926422,271
5,0.960305628028,0.6438127090301003,213
6,0.98117778606,0.6655518394648829,101
7,0.97875512486,0.6655518394648829,114
8,0.98117778606,0.6555183946488294,101
9,0.983786805814,0.6454849498327759,87
10,0.985650391353,0.6588628762541806,77
11,0.991427506523,0.6688963210702341,46
12,0.991986582184,0.657190635451505,43
13,0.993291092061,0.6387959866220736,36
14,0.991986582184,0.6538461538461539,43
15,0.995341036154,0.657190635451505,25
16,0.996645546031,0.6421404682274248,18
17,0.997204621692,0.6705685618729097,15
18,0.997204621692,0.6521739130434783,15
19,0.996645546031,0.6722408026755853,18
20,0.997204621692,0.6806020066889632,15
21,1.0,0.6806020066889632,0
