iteration,train_accuracy,dev_accuracy
0,0.7281028699217295,0.540133779264214
1,0.8572493477450615,0.5769230769230769
2,0.9308609765188222,0.6270903010033445
3,0.9280655982109579,0.6036789297658863
4,0.9740961610137905,0.6555183946488294
5,0.9552739470741707,0.6287625418060201
6,0.9834140887066717,0.6705685618729097
7,0.9755870294446515,0.6605351170568562
8,0.9783824077525158,0.6655518394648829
9,0.9869549012299664,0.6555183946488294
10,0.9953410361535594,0.6555183946488294
11,0.9912411479686918,0.6672240802675585
12,0.9895639209839732,0.6755852842809364
13,0.9921729407379799,0.6538461538461539
14,0.9949683190458442,0.6672240802675585
15,0.9949683190458442,0.657190635451505
16,0.9990682072307119,0.6688963210702341
17,0.9986954901229966,0.6622073578595318
18,0.9923592992918375,0.6254180602006689
19,0.9912411479686918,0.6404682274247492
20,0.995527394707417,0.6404682274247492
21,0.9957137532612746,0.6471571906354515
22,1.0,0.6739130434782609
23,1.0,0.6739130434782609
24,1.0,0.6739130434782609
25,1.0,0.6739130434782609
26,1.0,0.6739130434782609
27,1.0,0.6739130434782609
28,1.0,0.6739130434782609
29,1.0,0.6739130434782609
