[aa1605@cs-class a1-nlidata]$ python perceptron.py -l 30
iteration,train_accuracy,dev_accuracy,update
0,0.437942601565,0.6086956521739131,3016
1,0.768729034663,0.5652173913043478,1241
2,0.860417443161,0.6354515050167224,749
3,0.910175177041,0.6505016722408027,482
4,0.938874394335,0.6605351170568562,328
5,0.95751024972,0.6337792642140468,228
6,0.96906448006,0.6304347826086957,166
7,0.977077897876,0.6555183946488294,123
8,0.985277674245,0.617056856187291,79
9,0.984904957138,0.6755852842809364,81
10,0.983600447261,0.6655518394648829,88
11,0.989563920984,0.6672240802675585,56
12,0.990495713753,0.6638795986622074,51
13,0.99180022363,0.6655518394648829,44
14,0.992545657846,0.6605351170568562,40
15,0.994036526277,0.6438127090301003,32
16,0.995341036154,0.6688963210702341,25
17,0.9951546776,0.6622073578595318,26
18,0.994968319046,0.6270903010033445,27
19,0.995713753261,0.6020066889632107,23
20,0.997204621692,0.6555183946488294,15
21,0.997390980246,0.6739130434782609,14
22,0.997763697354,0.6672240802675585,12
23,0.999254565785,0.677257525083612,4
24,0.999068207231,0.6705685618729097,5
25,0.999254565785,0.6789297658862876,4
26,1.0,0.6789297658862876,0
