Nick,Mohammad,Max,Arif
SCONJ,SCONJ,SCONJ,SCONJ
DET,DET,DET,DET
NOUN,NOUN,NOUN,NOUN
VERB,VERB,VERB,VERB
DET,DET,DET,DET
NUM,NUM,NUM,DET
ADP,ADP,ADP,ADP
PRON,PRON,PRON,DET
PUNCT,PUNCT,PUNCT,PUNCT
PRON,PRON,PRON,PRON
DET,DET,PRON,DET
VERB,VERB,VERB,VERB
ADP,ADP,ADP,ADP
NOUN,NOUN,NOUN,NOUN
DET,DET,DET,DET
NOUN,NOUN,NOUN,NUM
PUNCT,PUNCT,PUNCT,PUNCT
,,,X
PRON,PRON,PRON,PRON
DET,DET,PRON,DET
VERB,VERB,VERB,VERB
ADP,ADP,ADP,ADP
NOUN,NOUN,NOUN,NOUN
PUNCT,PUNCT,PUNCT,PUNCT
PUNCT,PUNCT,PUNCT,PUNCT
DET,DET,DET,DET
NOUN,NOUN,NOUN,NOUN
NUM,NOUN,PROPN,PROPN
PUNCT,PUNCT,PUNCT,PUNCT
PUNCT,PUNCT,PUNCT,PUNCT
,,,X
PRON,PRON,PRON,PRON
VERB,VERB,VERB,VERB
DET,ADP,ADP,ADP
ADJ,ADJ,ADJ,ADJ
NOUN,NOUN,NOUN,NOUN
ADP,ADP,ADP,ADP
VERB,VERB,VERB,VERB
SCONJ,SCONJ,SCONJ,PRON
DET,DET,DET,DET
NOUN,NOUN,NOUN,NOUN
ADP,ADP,ADP,ADP
SCONJ,SCONJ,SCONJ,CONJ
VERB,VERB,VERB,VERB
DET,DET,DET,DET
ADJ,ADJ,ADJ,ADJ
NOUN,NOUN,NOUN,PROPN
VERB,VERB,VERB,VERB
DET,DET,DET,DET
NOUN,NOUN,NOUN,NOUN
PROPN,NOUN,PROPN,PROPN
PROPN,NOUN,PROPN,PROPN
PUNCT,PUNCT,PUNCT,PUNCT
,,,X
DET,DET,DET,DET
NOUN,NOUN,NOUN,NOUN
PART,PART,PART,PART
AUX,AUX,AUX,VERB
AUX,AUX,AUX,
VERB,VERB,VERB,
CONJ,SCONJ,SCONJ,PRON
DET,NUM,NUM,DET
NOUN,NOUN,NOUN,
ADP,ADP,ADP,DET
NOUN,NOUN,NOUN,NOUN
PUNCT,PUNCT,PUNCT,PUNCT
ADP,ADP,ADP,ADP
NUM,NUM,NUM,NUM
PUNCT,PUNCT,PUNCT,PUNCT
ADP,ADP,ADP,ADP
DET,DET,DET,DET
NOUN,NOUN,NOUN,NOUN
ADJ,ADJ,ADJ,ADJ
PUNCT,PUNCT,PUNCT,PUNCT
,,,X
PRON,PRON,PRON,PRON
AUX,AUX,AUX,AUX
VERB,VERB,VERB,VERB
ADV,ADV,PART,
DET,DET,DET,DET
ADJ,ADJ,ADJ,ADJ
NOUN,NOUN,NOUN,NOUN
ADP,ADP,ADP,ADP
ADJ,DET,PRON,PRON
NOUN,NOUN,NOUN,NOUN
ADP,ADP,ADP,ADP
DET,DET,DET,DET
PROPN,NOUN,PROPN,PROPN
PROPN,ADJ,PROPN,ADJ
PART,ADP,ADP,ADP
PROPN,NOUN,PROPN,NOUN
PUNCT,PUNCT,PUNCT,PUNCT
,,,X
CONJ,CONJ,CONJ,CONJ
PRON,PRON,PRON,PRON
PART,PART,PART,PART
PRON,DET,PRON,DET
AUX,AUX,AUX,AUX
VERB,VERB,VERB,DET
ADP,ADP,ADP,ADP
NOUN,NOUN,NOUN,CONJ
ADP,ADP,ADP,ADP
ADJ,DET,PRON,PRON
NOUN,NOUN,NOUN,NOUN
PUNCT,PUNCT,PUNCT,PUNCT
